INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../eventsToImage_tb.cpp in debug mode
   Compiling ../../../eventsToImage.cpp in debug mode
   Generating csim.exe
img[64]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[65]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[66]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[67]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[68]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[69]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[70]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[71]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[72]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[73]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[74]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[75]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[76]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[77]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[78]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[79]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[80]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[81]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[82]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[83]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[84]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[85]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[86]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
img[87]: '127' (Keep: 1, Strb: 1, User: 1, Last: 0, Id: 0, Dest: 0)
